Sate,Manhathan States,Manhatan Moves,Manhatan time,Missplaced States,Missplaced Moves,Missplaced time,hc_Steepest Staus: ,hc_Steepest: States ,hc_Steepest time:,hc_FirstChoice: Status,hc_FirstChoice: states,hc_FirstChoice Time,hc_RandomRestart Status,hc_RandomRestart: states,hc_RandomRestart time
560231478,80,14,0.004518,361,14,0.025604,Local Maxima,25,0.000589,Local Maxima,18,0.00056,Goal,89,0.002065
526340178,329,17,0.026742,1485,17,0.272839,Local Maxima,6,0.000157,Local Maxima,4,0.000141,Goal,8438,0.225881
236170854,186,15,0.012236,688,15,0.069633,Local Maxima,26,0.000593,Local Maxima,18,0.000559,Goal,1466,0.038662
502486731,554,19,0.057875,3747,19,1.536489,Local Maxima,6,0.000166,Local Maxima,5,0.000141,Goal,4476,0.117604
743815206,40,13,0.001926,227,13,0.011859,Goal,40,0.000896,Goal,25,0.00089,Goal,39,0.000854
53724816,174,16,0.011093,889,16,0.108865,Local Maxima,3,0.000073,Local Maxima,3,0.000069,Goal,632,0.017103
256138740,144,14,0.008601,406,14,0.028695,Local Maxima,8,0.000195,Local Maxima,5,0.000189,Goal,4024,0.106924
713526048,36,10,0.001542,68,10,0.002281,Local Maxima,8,0.000193,Local Maxima,8,0.000189,Goal,10301,0.279949
138725640,49,14,0.002668,376,14,0.025144,Local Maxima,3,0.000072,Local Maxima,3,0.000069,Goal,2996,0.078302
602743518,100,15,0.005336,607,15,0.055587,Local Maxima,6,0.000159,Local Maxima,5,0.00014,Goal,77,0.001829
136428075,16,8,0.000629,28,8,0.000701,Goal,25,0.000544,Goal,18,0.000539,Goal,24,0.000555
156237840,369,18,0.030897,2188,18,0.546596,Local Maxima,8,0.000212,Local Maxima,5,0.000189,Goal,3595,0.094591
837105624,1600,24,0.333379,30884,24,101.354666,Local Maxima,10,0.000262,Local Maxima,7,0.000222,Goal,1192,0.033572
614253708,110,15,0.006112,630,15,0.059144,Local Maxima,6,0.000179,Local Maxima,6,0.000141,Goal,11711,0.314703
142653087,2449,22,0.766552,13043,22,17.794702,Local Maxima,3,0.000086,Local Maxima,3,0.000068,Goal,2991,0.078097
235160748,59,11,0.002765,126,11,0.004803,Local Maxima,14,0.000325,Local Maxima,10,0.000315,Goal,787,0.020895
130875462,62,14,0.00301,375,14,0.024931,Local Maxima,6,0.000149,Local Maxima,6,0.000139,Goal,43,0.000979
153876420,597,18,0.066118,2524,18,0.755344,Local Maxima,3,0.000079,Local Maxima,3,0.000072,Goal,4229,0.113826
461320578,197,17,0.01325,1483,17,0.273607,Local Maxima,4,0.000092,Local Maxima,4,0.000088,Goal,8068,0.210035
235874016,52,14,0.002863,326,14,0.020749,Goal,44,0.000983,Goal,34,0.000966,Goal,43,0.000925
410263758,21,8,0.000857,26,8,0.000642,Local Maxima,15,0.000329,Local Maxima,12,0.000334,Goal,1597,0.041404
410256738,269,16,0.02029,972,16,0.126483,Local Maxima,3,0.000073,Local Maxima,3,0.000069,Goal,11044,0.294968
120543876,198,14,0.013548,447,14,0.033296,Local Maxima,8,0.000221,Local Maxima,6,0.00019,Goal,1476,0.038329
217053648,2552,23,0.783599,20678,23,44.318563,Local Maxima,11,0.000289,Local Maxima,10,0.000253,Goal,121,0.003158
413728065,30,10,0.001276,66,10,0.002046,Goal,32,0.000682,Goal,22,0.000677,Goal,31,0.000697
620157483,118,16,0.006842,784,16,0.087544,Local Maxima,3,0.000074,Local Maxima,3,0.000068,Goal,1922,0.051038
413725806,15,7,0.000578,15,7,0.000343,Goal,23,0.000541,Goal,16,0.000501,Goal,22,0.000494
502184367,1471,23,0.293804,19622,23,39.394453,Local Maxima,11,0.000292,Local Maxima,8,0.000252,Goal,872,0.02289
162748035,43,12,0.001961,167,12,0.007435,Local Maxima,15,0.000343,Local Maxima,11,0.000335,Goal,510,0.013422
142856307,1568,21,0.332353,9241,21,9.00016,Local Maxima,9,0.000239,Local Maxima,7,0.000204,Goal,1766,0.045807
130275486,160,14,0.009505,431,14,0.031968,Local Maxima,6,0.000151,Local Maxima,6,0.000138,Goal,2449,0.064133
185420763,52,11,0.002382,129,11,0.004933,Local Maxima,6,0.000146,Local Maxima,4,0.00014,Goal,224,0.005611
23167845,112,14,0.006242,393,14,0.027034,Local Maxima,6,0.000145,Local Maxima,5,0.000139,Goal,1752,0.045657
28341765,601,20,0.064231,5021,20,2.7458,Local Maxima,15,0.000356,Local Maxima,12,0.000328,Goal,7901,0.206312
136075842,180,15,0.011714,707,15,0.073391,Local Maxima,28,0.000619,Local Maxima,22,0.000589,Goal,8108,0.217956
375841026,103,18,0.005757,1790,18,0.379127,Local Maxima,15,0.000357,Local Maxima,10,0.000333,Goal,3036,0.080242
156438720,84,12,0.004336,176,12,0.007872,Local Maxima,8,0.000203,Local Maxima,5,0.000188,Goal,4894,0.12609
13627458,108,14,0.005923,396,14,0.027485,Local Maxima,18,0.000416,Local Maxima,13,0.000387,Goal,2810,0.073364
236105478,16,8,0.00064,16,8,0.000387,Goal,25,0.000546,Goal,20,0.000538,Goal,24,0.000539
423780516,426,17,0.038591,1664,17,0.332765,Local Maxima,6,0.000165,Local Maxima,5,0.000139,Goal,2307,0.060478
203451678,332,17,0.027029,1609,17,0.320694,Local Maxima,6,0.000208,Local Maxima,5,0.000139,Goal,2123,0.05594
542716038,85,14,0.00475,355,14,0.023019,Local Maxima,20,0.000466,Local Maxima,13,0.000435,Goal,10916,0.284557
340786215,110,18,0.006547,1811,18,0.39281,Local Maxima,3,0.000077,Local Maxima,3,0.00007,Goal,47,0.001154
468520713,450,19,0.042844,3706,19,1.523722,Local Maxima,16,0.000374,Local Maxima,10,0.000348,Goal,2269,0.060045
260415378,833,20,0.112969,5345,20,3.111796,Local Maxima,15,0.000376,Local Maxima,11,0.000326,Goal,1738,0.045833
168423705,103,13,0.005832,291,13,0.016765,Local Maxima,6,0.000147,Local Maxima,6,0.000139,Goal,918,0.023722
386427501,4519,25,2.345559,40891,25,183.770423,Local Maxima,6,0.000177,Local Maxima,5,0.000139,Goal,12247,0.326963
12458763,31,10,0.001573,73,10,0.00272,Local Maxima,8,0.000204,Local Maxima,8,0.000187,Goal,2261,0.058317
423816507,221,15,0.015362,659,15,0.062704,Local Maxima,11,0.000286,Local Maxima,7,0.000249,Goal,147,0.00348
701583462,458,19,0.042206,3530,19,1.34512,Local Maxima,26,0.000605,Local Maxima,19,0.000588,Goal,4125,0.109065
